Ign;Bothrops;Crotalus;Micrurus;Lachesis;Nao _pec;Total;veg
281;24;3;0;0;2;310;Floresta Ombrofila Mista
105;1;0;0;0;3;109;Floresta Estacional Semidecidual
239;4;5;0;0;2;250;Floresta Estacional Semidecidual
806;49;0;0;0;4;859;Floresta Ombrofila Mista
121;0;0;0;0;1;122;Floresta Ombrofila Mista
1165;34;4;0;0;5;1208;Floresta Ombrofila Mista
165;31;4;0;0;4;204;Floresta Ombrofila Mista
287;16;18;0;0;9;330;Floresta Estacional Semidecidual
13;0;0;0;0;2;15;Floresta Estacional Semidecidual
310;2;6;0;0;7;325;Floresta Estacional Semidecidual
152;15;3;1;0;4;175;Floresta Ombrofila Mista
174;6;0;0;0;12;192;Floresta Estacional Semidecidual
67;1;2;0;0;4;74;Floresta Estacional Semidecidual
3293;42;53;0;0;31;3419;Floresta Estacional Semidecidual
367;5;0;0;0;3;375;Floresta Ombrofila Mista
66;3;0;0;0;1;70;Floresta Estacional Semidecidual
576;21;0;0;0;2;599;Floresta Ombrofila Mista
133;2;0;0;0;4;139;Floresta Ombrofila Mista
21;0;0;0;0;1;22;Floresta Estacional Semidecidual
400;6;23;0;0;7;436;Floresta Estacional Semidecidual
1724;34;0;0;0;26;1784;Floresta Ombrofila Densa
203;1;2;0;0;1;207;Floresta Ombrofila Mista
71;12;0;0;0;1;84;Floresta Ombrofila Mista
314;8;4;0;0;3;329;Floresta Estacional Semidecidual
46;1;1;0;0;4;52;Floresta Estacional Semidecidual
31;0;0;0;0;4;35;Floresta Estacional Semidecidual
60;0;0;0;0;0;60;Floresta Estacional Semidecidual
110;12;7;0;0;2;131;Floresta Estacional Semidecidual
80;0;0;0;0;4;84;Floresta Estacional Semidecidual
422;221;0;0;0;1;644;Floresta Ombrofila Densa
34;0;0;0;0;0;34;Floresta Estacional Semidecidual
151;0;1;0;0;1;153;Floresta Estacional Semidecidual
5;0;0;0;0;0;5;Floresta Estacional Semidecidual
22;0;1;0;0;0;23;Floresta Estacional Semidecidual
193;1;3;0;0;9;206;Floresta Ombrofila Mista
55;8;7;0;0;4;74;Floresta Ombrofila Mista
122;0;0;0;0;1;123;Floresta Estacional Semidecidual
91;3;0;0;0;0;94;Floresta Ombrofila Mista
72;3;2;0;0;1;78;Floresta Estacional Semidecidual
803;40;11;0;0;7;861;Floresta Ombrofila Mista
87;1;1;0;0;4;93;Floresta Estacional Semidecidual
32;0;0;0;0;1;33;Floresta Estacional Semidecidual
134;6;0;0;0;6;146;Floresta Estacional Semidecidual
79;4;0;0;0;1;84;Floresta Estacional Semidecidual
46;3;2;0;0;3;54;Floresta Estacional Semidecidual
162;11;7;0;0;0;180;Floresta Ombrofila Mista
99;1;6;0;0;3;109;Floresta Estacional Semidecidual
339;86;22;0;0;7;454;Floresta Ombrofila Mista
17;1;0;0;0;0;18;Floresta Estacional Semidecidual
50;0;0;0;0;0;50;Floresta Estacional Semidecidual
50;0;0;0;0;0;50;Floresta Estacional Semidecidual
1616;86;3;0;0;9;1714;Estepe
1395;50;2;0;0;6;1453;Estepe
315;13;3;0;0;12;343;Floresta Ombrofila Mista
71;1;2;0;0;4;78;Floresta Estacional Semidecidual
20;0;1;0;0;1;22;Floresta Estacional Semidecidual
374;2;0;0;0;0;376;Floresta Estacional Semidecidual
51;0;0;0;0;0;51;Floresta Estacional Semidecidual
701;9;11;0;0;8;729;Floresta Estacional Semidecidual
50;2;3;0;0;0;55;Floresta Estacional Semidecidual
3336;62;8;2;0;7;3415;Floresta Ombrofila Mista
258;3;0;0;0;0;261;Floresta Ombrofila Mista
734;48;1;0;0;0;783;Floresta Ombrofila Mista
217;4;3;0;0;2;226;Floresta Ombrofila Mista
